source,word,freq
yelp,food,124
yelp,place,106
yelp,good,95
yelp,service,83
yelp,great,70
yelp,back,61
yelp,like,46
yelp,go,43
yelp,time,42
yelp,really,36
yelp,best,30
yelp,would,28
yelp,dont,28
yelp,ever,28
yelp,one,26
yelp,never,26
yelp,friendly,26
yelp,restaurant,25
yelp,nice,25
yelp,amazing,23
yelp,delicious,23
yelp,vegas,21
yelp,ive,20
yelp,came,20
yelp,experience,20
yelp,get,19
yelp,wont,19
yelp,even,19
yelp,eat,19
yelp,us,19
yelp,disappointed,19
yelp,pretty,19
yelp,love,19
yelp,staff,19
yelp,minutes,19
yelp,bad,18
yelp,definitely,18
yelp,much,18
yelp,got,18
yelp,going,18
yelp,well,18
yelp,first,17
yelp,made,17
yelp,chicken,16
yelp,say,16
yelp,think,16
yelp,could,16
yelp,better,16
yelp,pizza,15
yelp,always,15
yelp,stars,15
yelp,menu,15
yelp,salad,15
yelp,fresh,14
yelp,steak,14
yelp,way,14
yelp,wait,14
yelp,ordered,14
yelp,worst,14
yelp,wasnt,13
yelp,sushi,13
yelp,taste,13
yelp,server,13
yelp,quality,13
yelp,didnt,13
yelp,flavor,13
yelp,times,13
yelp,enough,12
yelp,fantastic,12
yelp,night,12
yelp,went,12
yelp,burger,12
yelp,awesome,12
yelp,recommend,11
yelp,bland,11
yelp,tasty,11
yelp,cant,11
yelp,meal,11
yelp,next,11
yelp,still,11
yelp,order,11
yelp,buffet,11
yelp,know,11
yelp,feel,11
yelp,slow,11
yelp,loved,10
yelp,excellent,10
yelp,atmosphere,10
yelp,prices,10
yelp,little,10
yelp,selection,10
yelp,another,10
yelp,everything,10
yelp,terrible,10
yelp,sauce,10
yelp,waited,10
yelp,perfect,10
yelp,coming,10
yelp,worth,10
yelp,probably,10
yelp,sandwich,9
yelp,cold,9
yelp,breakfast,9
yelp,day,9
yelp,meat,9
yelp,many,9
yelp,soon,9
yelp,give,9
yelp,lunch,9
yelp,dishes,9
yelp,hot,9
yelp,clean,9
yelp,table,9
yelp,every,9
yelp,fries,9
yelp,people,9
yelp,two,8
yelp,spot,8
yelp,beer,8
yelp,felt,8
yelp,took,8
yelp,getting,8
yelp,try,8
yelp,dish,8
yelp,right,8
yelp,since,8
yelp,rude,8
yelp,make,8
yelp,absolutely,8
yelp,around,8
yelp,sure,8
yelp,impressed,8
yelp,take,8
yelp,said,8
yelp,waitress,8
yelp,thing,8
yelp,dining,8
yelp,tasted,8
yelp,quite,8
yelp,overall,8
yelp,spicy,8
yelp,happy,8
yelp,bit,8
yelp,overpriced,8
yelp,attentive,7
yelp,wonderful,7
yelp,family,7
yelp,ambiance,7
yelp,bar,7
yelp,town,7
yelp,far,7
yelp,chips,7
yelp,tried,7
yelp,eating,7
yelp,friends,7
yelp,super,7
yelp,seriously,7
yelp,area,7
yelp,waiter,7
yelp,cooked,7
yelp,found,7
yelp,side,7
yelp,price,7
yelp,lot,7
yelp,inside,7
yelp,deal,7
yelp,nothing,7
yelp,tender,6
yelp,enjoy,6
yelp,hard,6
yelp,warm,6
yelp,twice,6
yelp,must,6
yelp,done,6
yelp,money,6
yelp,pho,6
yelp,potato,6
yelp,small,6
yelp,check,6
yelp,horrible,6
yelp,mediocre,6
yelp,served,6
yelp,poor,6
yelp,hour,6
yelp,last,6
yelp,shrimp,6
yelp,special,6
yelp,left,6
yelp,see,6
yelp,either,6
yelp,management,6
yelp,tell,6
yelp,dinner,6
yelp,authentic,6
yelp,old,5
yelp,tables,5
yelp,return,5
yelp,anytime,5
yelp,portions,5
yelp,servers,5
yelp,full,5
yelp,talk,5
yelp,sweet,5
yelp,extremely,5
yelp,hit,5
yelp,sat,5
yelp,zero,5
yelp,bring,5
yelp,waste,5
yelp,places,5
yelp,things,5
yelp,barely,5
yelp,fish,5
yelp,reasonable,5
yelp,kept,5
yelp,fast,5
yelp,long,5
yelp,real,5
yelp,tasteless,5
yelp,asked,5
yelp,fried,5
yelp,bread,5
yelp,customer,5
yelp,home,5
yelp,new,5
yelp,quick,5
yelp,seafood,5
yelp,bacon,5
yelp,may,5
yelp,huge,5
yelp,wrong,5
yelp,beef,5
yelp,pasta,5
yelp,owners,5
yelp,dessert,5
yelp,thought,5
yelp,disappointing,5
yelp,ice,5
yelp,id,5
yelp,seated,5
yelp,away,5
yelp,sick,5
yelp,waiting,5
yelp,expect,5
yelp,thai,5
yelp,avoid,5
yelp,outside,5
yelp,enjoyed,5
yelp,eaten,5
yelp,pay,4
yelp,helpful,4
yelp,thin,4
yelp,bay,4
yelp,kind,4
yelp,location,4
yelp,drive,4
yelp,sad,4
yelp,dry,4
yelp,heart,4
yelp,someone,4
yelp,tacos,4
yelp,leave,4
yelp,salmon,4
yelp,fun,4
yelp,incredible,4
yelp,husband,4
yelp,drink,4
yelp,unfortunately,4
yelp,possible,4
yelp,beat,4
yelp,business,4
yelp,disappointment,4
yelp,something,4
yelp,burgers,4
yelp,though,4
yelp,visit,4
yelp,sucked,4
yelp,establishment,4
yelp,rare,4
yelp,damn,4
yelp,fact,4
yelp,needs,4
yelp,thumbs,4
yelp,large,4
yelp,highly,4
yelp,least,4
yelp,everyone,4
yelp,drinks,4
yelp,cream,4
yelp,trip,4
yelp,gave,4
yelp,ask,4
yelp,steaks,4
yelp,soup,4
yelp,tea,4
yelp,pork,4
yelp,elsewhere,4
yelp,job,4
yelp,average,4
yelp,piece,4
yelp,live,4
yelp,yummy,4
yelp,phoenix,4
yelp,folks,4
yelp,dirty,4
yelp,considering,4
yelp,running,4
yelp,wings,4
yelp,wine,4
yelp,look,4
yelp,rice,4
yelp,manager,4
yelp,today,4
yelp,vegetables,4
yelp,close,4
yelp,options,4
yelp,especially,3
yelp,kids,3
yelp,boyfriend,3
yelp,couple,3
yelp,homemade,3
yelp,isnt,3
yelp,wouldnt,3
yelp,sucks,3
yelp,restaurants,3
yelp,bill,3
yelp,strip,3
yelp,insulted,3
yelp,moist,3
yelp,amount,3
yelp,busy,3
yelp,literally,3
yelp,water,3
yelp,desserts,3
yelp,yet,3
yelp,ate,3
yelp,white,3
yelp,seating,3
yelp,wanted,3
yelp,although,3
yelp,half,3
yelp,potatoes,3
yelp,guess,3
yelp,hummus,3
yelp,texture,3
yelp,cool,3
yelp,quickly,3
yelp,gone,3
yelp,rolls,3
yelp,room,3
yelp,cheese,3
yelp,need,3
yelp,beans,3
yelp,sides,3
yelp,honest,3
yelp,green,3
yelp,duck,3
yelp,none,3
yelp,awful,3
yelp,recommended,3
yelp,vibe,3
yelp,deserves,3
yelp,youre,3
yelp,watched,3
yelp,please,3
yelp,pita,3
yelp,cafe,3
yelp,different,3
yelp,meals,3
yelp,treated,3
yelp,find,3
yelp,bathroom,3
yelp,received,3
yelp,lacked,3
yelp,greek,3
yelp,ambience,3
