source,word,freq
imdb,movie,177
imdb,film,155
imdb,one,77
imdb,bad,67
imdb,good,56
imdb,like,47
imdb,time,42
imdb,acting,41
imdb,really,41
imdb,great,40
imdb,even,39
imdb,characters,36
imdb,see,36
imdb,well,31
imdb,movies,30
imdb,ever,29
imdb,story,28
imdb,made,27
imdb,films,27
imdb,plot,27
imdb,dont,26
imdb,best,25
imdb,script,24
imdb,way,23
imdb,seen,23
imdb,would,22
imdb,watching,22
imdb,didnt,22
imdb,character,22
imdb,make,22
imdb,love,22
imdb,real,21
imdb,could,21
imdb,think,21
imdb,much,20
imdb,every,20
imdb,scenes,19
imdb,look,19
imdb,actors,18
imdb,wonderful,18
imdb,funny,18
imdb,work,18
imdb,better,18
imdb,cast,18
imdb,never,17
imdb,watch,17
imdb,little,17
imdb,everything,16
imdb,show,16
imdb,totally,15
imdb,excellent,15
imdb,anyone,15
imdb,get,14
imdb,nothing,14
imdb,scene,14
imdb,people,14
imdb,awful,14
imdb,many,14
imdb,stupid,14
imdb,years,14
imdb,go,14
imdb,know,14
imdb,still,14
imdb,waste,14
imdb,two,13
imdb,say,13
imdb,worth,13
imdb,recommend,13
imdb,right,13
imdb,dialogue,13
imdb,pretty,13
imdb,thing,13
imdb,writing,13
imdb,music,13
imdb,performance,12
imdb,doesnt,12
imdb,art,12
imdb,ive,12
imdb,line,12
imdb,cant,12
imdb,terrible,12
imdb,things,12
imdb,saw,12
imdb,interesting,12
imdb,though,11
imdb,short,11
imdb,first,11
imdb,beautiful,11
imdb,give,11
imdb,screen,11
imdb,worse,11
imdb,thought,11
imdb,worst,11
imdb,part,11
imdb,enough,11
imdb,ending,11
imdb,actually,10
imdb,played,10
imdb,actor,10
imdb,predictable,10
imdb,liked,10
imdb,find,10
imdb,simply,10
imdb,loved,10
imdb,highly,10
imdb,life,10
imdb,however,10
imdb,director,10
imdb,piece,10
imdb,feeling,10
imdb,quite,10
imdb,effects,9
imdb,understand,9
imdb,whole,9
imdb,got,9
imdb,watched,9
imdb,game,9
imdb,going,9
imdb,absolutely,9
imdb,least,9
imdb,directing,9
imdb,truly,9
imdb,big,9
imdb,thats,9
imdb,definitely,9
imdb,almost,9
imdb,boring,9
imdb,play,9
imdb,job,9
imdb,lot,9
imdb,enjoyed,9
imdb,black,9
imdb,drama,9
imdb,kids,8
imdb,sucks,8
imdb,kind,8
imdb,white,8
imdb,camera,8
imdb,long,8
imdb,cinematography,8
imdb,amazing,8
imdb,believe,8
imdb,makes,8
imdb,minutes,8
imdb,probably,8
imdb,avoid,8
imdb,mess,8
imdb,certainly,8
imdb,cinema,8
imdb,theres,8
imdb,found,8
imdb,used,8
imdb,special,8
imdb,old,7
imdb,done,7
imdb,john,7
imdb,comedy,7
imdb,wasnt,7
imdb,must,7
imdb,far,7
imdb,wasted,7
imdb,fact,7
imdb,subtle,7
imdb,tv,7
imdb,series,7
imdb,around,7
imdb,lines,7
imdb,everyone,7
imdb,top,7
imdb,together,7
imdb,especially,7
imdb,cool,7
imdb,another,7
imdb,horror,7
imdb,garbage,7
imdb,written,7
imdb,action,7
imdb,suspense,7
imdb,anything,7
imdb,experience,7
imdb,seeing,7
imdb,holes,6
imdb,cheap,6
imdb,entire,6
imdb,use,6
imdb,brilliant,6
imdb,incredible,6
imdb,throughout,6
imdb,money,6
imdb,performances,6
imdb,perfect,6
imdb,portrayal,6
imdb,crap,6
imdb,poor,6
imdb,annoying,6
imdb,nice,6
imdb,gives,6
imdb,human,6
imdb,family,6
imdb,wont,6
imdb,half,6
imdb,rent,6
imdb,whatever,6
imdb,classic,6
imdb,recommended,6
imdb,believable,6
